"ims_org_id","pred.y"
"INS00002308",850961.868439985
"INS00002309",1311335.57714597
"INS00002254",2837736.44758961
"INS00002255",10015378.3526026
"INS00002257",3886322.34546514
"INS00002263",741555.214547813
"INS00002265",1717717.03506164
"INS00002269",513353.988816712
"INS00002273",623764.076253528
"INS00002279",4531226.0921872
"INS00002281",1569979.80526004
"INS00002286",1805915.49078203
"INS00002287",352623.27821422
"INS00002288",597409.908926881
"INS00002295",1355499.15813889
"INS00002296",3808769.48419391
"INS00002301",1659683.22303293
"INS00002302",4252135.17683057
"INS00002306",5083129.76223082
"INS00002307",1178172.62816806
"INS00003904",1333618.44940953
"INS00059485",328698.579986145
"INS00106257",328308.516302609
"INS00118626",328454.548503876
"INS00578391",494315.345362263
"INS00720687",330317.751828069
"INS00781220",955979.302719353
"INS00938294",717085.820339693
"INS01018035",330919.353128897
"INS01106231",330991.322549112
"INS00001909",695106.824745027
"INS00001920",330913.74405002
"INS00001932",739949.668248774
"INS00002092",3379687.9836438
"INS00006407",1474396.61056236
"INS00116434",1432371.02366283
"INS00000919",14604516.4979646
"INS00001122",4300157.61692584
"INS00489748",328990.276669866
"INS00002073",5820679.42192698
"INS00002086",405142.54908054
"INS01184489",329961.643516242
"INS00000920",852761.527489844
"INS00002071",422033.786168296
"INS00001051",452932.386296215
"INS00001247",1787630.55015064
"INS00002091",898968.430600279
"INS00085017",328715.605806578
"INS00002089",2186676.92898883
"INS00006512",350528.379855266
"INS00409020",1040421.68306834
"INS00006366",5790461.8205709
"INS00006511",9776920.3126642
"INS00006514",330063.570617228
"INS00006515",329299.403471448
"INS00001903",2122003.63093734
"INS00005618",2449496.58611194
"INS00006257",2229823.79658012
"INS00006513",725116.365214872
"INS00001070",3832355.77292989
"INS00001893",4247286.26409918
"INS00001895",8023127.7846916
"INS00001897",10340200.6443353
"INS00001916",328064.28829975
"INS00001931",3338804.10874004
"INS00005801",330388.775077969
"INS00002069",1105730.93850458
"INS00005496",6266136.17170406
"INS00005497",326987.659612603
"INS00005613",6507794.10043052
"INS00058234",327683.484930202
"INS00001074",682152.764992338
"INS00121066",866206.584737343
"INS00000975",18453852.1832625
"INS00001052",1479405.11024487
"INS00001055",4280758.85842136
"INS00001069",1451370.07805322
"INS00001072",5314171.39286536
"INS00001263",16715387.701178
"INS00001696",329195.405042353
"INS00001697",5098429.1808415
"INS00001698",330107.844615396
"INS00001894",7193120.13663124
"INS00001898",1058685.38771134
"INS00001904",868653.53554013
"INS00001921",9245594.60870773
"INS00002077",4619700.93179671
"INS00005183",8326964.84952005
"INS00005611",24408714.5095498
"INS00005612",17467477.2855507
"INS00005616",3258749.08013876
"INS00006019",330605.234947425
"INS00006709",3033876.23731691
"INS00011393",22736798.8021685
"INS00569488",328848.070988272
"INS00001049",21619356.6084503
"INS00001053",328904.41357058
"INS00002081",514682.696522749
"INS00565113",329503.302150058
"INS00001073",4330376.76529974
"INS00002076",2912107.19757263
"INS00002105",2660502.3947621
"INS00001050",733853.009847068
"INS00005617",6048773.01557581
"INS00468618",329507.180129463
"INS00001037",757268.710140736
"INS00001896",470809.074531177
"INS00001906",390023.921349552
"INS00006089",329247.254009073
"INS00001036",4281200.43729441
"INS00001071",2930918.32130193
"INS00001905",1375126.35098311
"INS00001924",2080688.98624842
"INS00006088",331377.022048184
"INS00006090",11741602.5144641
"INS00121065",855221.509210245
"INS00001057",6367014.11252545
"INS00001980",1317158.7548243
"INS00001984",1246705.88512726
"INS00001986",679436.934765777
"INS00005182",950259.296203002
"INS00001056",4947993.39198553
"INS00001983",2294793.64741244
"INS00001985",1211957.46008935
"INS00005180",6580116.69047026
"INS00005181",19720344.8782457
"INS00005184",328376.88875031
"INS00006715",330130.161279791
"INS00001401",646107.872980669
"INS00001578",1657972.12227998
"INS00001972",3725881.11494431
"INS00001103",6250642.9869873
"INS00001637",6436503.60763205
"INS00639436",328868.971125144
"INS00001041",531012.306361327
"INS00001963",413046.688578011
"INS00001968",1137774.20074491
"INS00001973",459641.084627883
"INS00001040",6447416.10008458
"INS00001042",502280.573329054
"INS00001960",1106398.87452708
"INS00001958",457183.491046762
"INS00005827",481312.010469727
